"","Status","Point","Responsible.Agency","Address","Request.Details"
"36","Open","(37.727921692927, -122.47417316612)","DPW Ops Queue","144 STONECREST DR, SAN FRANCISCO, CA, 94132","Lifted_sidewalk_tree_roots"
"37","Open","(37.7812271125734, -122.502011828073)","DPW Ops Queue","Intersection of 41ST AVE and CLEMENT ST","Other"
"38","Closed","(37.732213975724, -122.445822297817)","DPW Ops Queue","467 JOOST AVE, SAN FRANCISCO, CA, 94127","Pruning_request"
"39","Open","(37.756733030164, -122.482938838975)","DPW Ops Queue","1650 25TH AVE, SAN FRANCISCO, CA, 94122","Lifted_sidewalk_tree_roots"
"40","Closed","(37.758850249977, -122.473851830126)","DPW Ops Queue","1561 16TH AVE, SAN FRANCISCO, CA, 94122","Other_enter_additional_details_below"
"41","Closed","(37.7758344070154, -122.431198557278)","DPW Ops Queue","Intersection of FILLMORE ST and HAYES ST","Backfill_tree_basin"
"42","Closed","(37.7398602749573, -122.424502576236)","DPW Ops Queue","Intersection of RANDALL ST and ARLINGTON ST","Hanging_limb"
"43","Closed","(37.741219748347, -122.424362473376)","DPW Ops Queue","1770 DOLORES ST, SAN FRANCISCO, CA, 94110","Hanging_limb"
"44","Closed","(37.7674306308492, -122.401842409564)","DPW Ops Queue","Intersection of DE HARO ST and 15TH ST","Fallen_tree"
"45","Closed","(37.7845466651625, -122.422838055375)","DPW Ops Queue","Intersection of FRANKLIN ST and OFARRELL ST","Fallen_tree"
"46","Closed","(37.791887170866, -122.441013746718)","DPW Ops Queue","2400 DIVISADERO ST, SAN FRANCISCO, CA, 94115","Fallen_tree"
"47","Open","(37.771499800555, -122.42404836031)","DPW Ops Queue","1828 MARKET ST, SAN FRANCISCO, CA, 94102","Damaged_vandalism"
"48","Open","(37.763178725342, -122.454945933705)","DPW Ops Queue","Intersection of BELMONT AVE and EDGEWOOD AVE","Fallen_tree"
"49","Open","(37.7809937749427, -122.413148141072)","DPW Ops Queue","Intersection of CHARLES J BRENHAM PL and MCALLISTER ST","Pruning_request"
"50","Open","(37.7681779848143, -122.410730771065)","DPW Ops Queue","Intersection of BRYANT ST and ALAMEDA ST","Damaged_vandalism"
"51","Closed","(37.7344528556565, -122.402689437566)","DPW Ops Queue","Intersection of AUGUSTA ST and WATERVILLE ST","Other"
"52","Closed","(37.753060054585, -122.406546817556)","311 Supervisor Queue","2708 24TH ST, SAN FRANCISCO, CA, 94110","Fallen_tree"
"53","Closed","(37.760829974342, -122.417230702082)","DPW Ops Queue","772 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94110","Other"
"54","Closed","(37.784377648993, -122.471142138449)","DPW Ops Queue","5001 CALIFORNIA ST, SAN FRANCISCO, CA, 94118","Damaged_vandalism"
"55","Open","(37.764280899007, -122.434186159583)","DPW Ops Queue","3648 16TH ST, SAN FRANCISCO, CA, 94114","Damaged_vandalism"
"56","Closed","(37.718743982427, -122.397096694973)","DPW Ops Queue","1036 LE CONTE AVE, SAN FRANCISCO, CA, 94124","Fallen_tree"
"57","Open","(37.731992464389, -122.448726202269)","DPW Ops Queue","410 FOERSTER ST, SAN FRANCISCO, CA, 94127","Other"
"58","Open","(37.768729961281, -122.444834607437)","DPW Ops Queue","1326 MASONIC AVE, SAN FRANCISCO, CA, 94117","Sewer_damage_tree_roots"
"59","Closed","(37.739087853587, -122.385815695544)","DPW Ops Queue","1482 HUDSON AVE, SAN FRANCISCO, CA, 94124","Pruning_request"
"60","Open","(37.763691395277, -122.479862187668)","DPW Ops Queue","2034 IRVING ST, SAN FRANCISCO, CA, 94122","Other"
"61","Closed","(37.78744080295, -122.430168495905)","DPW Ops Queue","Intersection of BUCHANAN ST and BUSH ST","Other"
"62","Closed","(37.708930101944, -122.439724031635)","DPW Ops Queue","388 POLARIS WAY, SAN FRANCISCO, CA, 94112","Pruning_request"
"63","Closed","(37.716431112521, -122.44438207093)","DPW Ops Queue","2362 ALEMANY BLVD, SAN FRANCISCO, CA, 94112","Near_communication_line"
"64","Closed","(37.7738892157624, -122.423947094103)","DPW Ops Queue","Intersection of OCTAVIA ST and PAGE ST","Hanging_limb"
"65","Closed","(37.787562650952, -122.452745617541)","DPW BUF Queue","3640 SACRAMENTO ST, SAN FRANCISCO, CA, 94118","Fallen_tree"
"66","Open","(37.796353978904, -122.403219121958)","DPW Ops Queue","499 JACKSON ST, SAN FRANCISCO, CA, 94111","Damaged_vandalism"
"67","Closed","(37.7608339989507, -122.404134630753)","DPW Ops Queue","Intersection of 19TH ST and VERMONT ST","Pruning_request"
"68","Open","(37.779960696108, -122.422194607195)","DPW BUF Queue","600 MCALLISTER ST, SAN FRANCISCO, CA, 94102","Hanging_limb"
"69","Closed","(37.732485942996, -122.437834200545)","DPW BUF Queue","100 JOOST AVE, SAN FRANCISCO, CA, 94131","Shrubbery_blocking_visibility"
"70","Open","(37.7824879377749, -122.445820390699)","DPW BUF Queue","Intersection of PRESIDIO AVE and GEARY BLVD","Sprinkler_system_issues"
"71","Closed","(37.787052606533, -122.420150167437)","DPW Ops Queue","1101 POLK ST, SAN FRANCISCO, CA, 94109","Other"
"72","Closed","(37.787582267594, -122.420220966909)","DPW Ops Queue","1177 POLK ST, SAN FRANCISCO, CA, 94109","Other"
"73","Closed","(37.767092538129, -122.419684297046)","DPW Ops Queue","1875 MISSION ST, SAN FRANCISCO, CA, 94103","Other"
"74","Open","(37.75984206747, -122.449589444123)","DPW Ops Queue","1626 SHRADER ST, SAN FRANCISCO, CA, 94117","Fallen_tree"
"75","Closed","(37.75984206747, -122.449589444123)","DPW Ops Queue","1626 SHRADER ST, SAN FRANCISCO, CA, 94117","Other"
"76","Closed","(37.7330708907958, -122.385001503995)","DPW BUF Queue","Intersection of LA SALLE AVE and NEWCOMB AVE","Weeding"
"77","Open","(37.772660694162, -122.416842069789)","DPW Ops Queue","1065 NATOMA ST, SAN FRANCISCO, CA, 94103","Lifted_sidewalk_tree_roots"
"78","Closed","(37.710740510022, -122.469584253667)","DPW Ops Queue","612 PALMETTO AVE, SAN FRANCISCO, CA, 94132","About_to_fall"
"79","Open","(37.7574478801035, -122.48851740414)","DPW Ops Queue","Intersection of 30TH AVE and LAWTON ST","Restake_tree"
"80","Closed","(37.765361840502, -122.417081193704)","DPW Ops Queue","2886 16TH ST, SAN FRANCISCO, CA, 94103","Other"
"81","Closed","(37.7658614882697, -122.433255578825)","DPW Ops Queue","Intersection of NOE ST and 15TH ST","Fallen_tree"
"82","Closed","(37.730179285863, -122.477121597762)","DPW Ops Queue","555 BUCKINGHAM WAY, SAN FRANCISCO, CA, 94132","Blocking_signs"
"83","Closed","(37.763535265497, -122.419720592706)","DPW Ops Queue","2096 MISSION ST, SAN FRANCISCO, CA, 94110","Damaged_vandalism"
"84","Closed","(37.7464941220687, -122.433697792785)","DPW Ops Queue","Intersection of 27TH ST and NEWBURG ST","Pruning_request"
"85","Closed","(37.7996651021082, -122.446180547605)","Recology_Abandoned","Intersection of RICHARDSON AVE and BAKER ST","Fallen_tree"
"86","Open","(37.74721200947, -122.469570181374)","DPW BUF Queue","2191 FUNSTON AVE, SAN FRANCISCO, CA, 94116","Other"
"87","Open","(37.74721200947, -122.469570181374)","DPW BUF Queue","2191 FUNSTON AVE, SAN FRANCISCO, CA, 94116","Other"
"88","Open","(37.7651305084029, -122.396770722608)","DPW BSM Queue","Intersection of 17TH ST and MISSOURI ST","Pruning_request"
"89","Closed","(37.742634511133, -122.479509457157)","DPW Ops Queue","1233 TARAVAL ST, SAN FRANCISCO, CA, 94116","Other"
"90","Closed","(37.786964842786, -122.429913190344)","DPW Ops Queue","1826 BUCHANAN ST, SAN FRANCISCO, CA, 94115","Fallen_tree"
"91","Closed","(37.7448119041579, -122.406895838816)","DPW BUF Queue","Intersection of BREWSTER ST and COSTA ST","Shrubbery_blocking_visibility"
"92","Open","(37.712812702704, -122.472710511231)","DPW BUF Queue","725 BROTHERHOOD WAY, SAN FRANCISCO, CA, 94132","Hanging_limb"
"93","Open","(37.7432225887387, -122.417421505253)","DPW BUF Queue","Intersection of ESMERALDA AVE and ELSIE ST","Sprinkler_system_issues"
"94","Open","(37.770152119485, -122.444810299608)","DPW BUF Queue","1375 HAIGHT ST, SAN FRANCISCO, CA, 94117","Pruning_request"
"95","Open","(37.769881020256, -122.448253684244)","DPW BUF Queue","1580 HAIGHT ST, SAN FRANCISCO, CA, 94117","Pruning_request"
"96","Closed","(37.782855777642, -122.400180433108)","DPW Ops Queue","750 FOLSOM ST, SAN FRANCISCO, CA, 94107","Hanging_limb"
"97","Closed","(37.7292728301, -122.382915297681)","DPW Ops Queue","1167 PALOU AVE, SAN FRANCISCO, CA, 94124","Near_communication_line"
"98","Open","(37.731278046912, -122.396031384881)","DPW BSM Queue","354 THORNTON AVE, SAN FRANCISCO, CA, 94124","Weeding"
"99","Open","(37.7762037212659, -122.486603247829)","DPW Ops Queue","Intersection of BALBOA ST and 27TH AVE","Dead_tree"
"100","Closed","(37.776505765764, -122.427515774992)","DPW Ops Queue","674 HAYES ST, SAN FRANCISCO, CA, 94102","Fallen_tree"
"101","Open","(37.744252537199, -122.420812907013)","DPW Ops Queue","3286 MISSION ST, SAN FRANCISCO, CA, 94110","Lifted_sidewalk_tree_roots"
"102","Open","(37.744634368347, -122.42085429465)","DPW Ops Queue","3266 MISSION ST, SAN FRANCISCO, CA, 94110","Lifted_sidewalk_tree_roots"
"103","Closed","(37.764773191601, -122.426823737802)","DPW Ops Queue","3310 16TH ST, SAN FRANCISCO, CA, 94114","Other"
"104","Closed","(37.755715883, -122.4162233)","DPW Ops Queue","148 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94103","Empty_tree_basin"
"105","Closed","(37.710174437517, -122.438127079294)","DPW BUF Queue","1100 PRAGUE ST, SAN FRANCISCO, CA, 94112","Weeding"
"106","Closed","(37.7712297778856, -122.452241648513)","DPW - Bureau of Urban Forestry - G","Intersection of OAK ST and SHRADER ST","Blocking_signs"
"107","Closed","(37.7766875913482, -122.424513781071)","DPW Ops Queue","Intersection of HAYES ST and OCTAVIA ST","Other"
"108","Closed","(37.7106501448696, -122.471044659605)","DPW BUF Queue","Intersection of JUNIPERO SERRA BLVD and PALMETTO AVE","Lawn_mowing"
"109","Closed","(37.7161259318113, -122.471571966693)","311 Supervisor Queue","Intersection of 19TH AVE and SARGENT ST","Weeding"
"110","Open","(37.781838336276, -122.415680513678)","DPW Ops Queue","101 HYDE ST, SAN FRANCISCO, CA, 94102","Damaged_vandalism"
"111","Closed","(37.78291941747, -122.412639016919)","DPW Ops Queue","213 TURK ST, SAN FRANCISCO, CA, 94102","Damaged_vandalism"
"112","Closed","(37.765164927177, -122.41870009706)","DPW Ops Queue","2950 16TH ST, SAN FRANCISCO, CA, 94103","Damaged_vandalism"
"113","Closed","(37.773267268218, -122.417991823297)","DPW Ops Queue","1559 MISSION ST, SAN FRANCISCO, CA, 94103","Lifted_sidewalk_tree_roots"
"114","Closed","(37.7321217551235, -122.488899833968)","DPW Ops Queue","Intersection of EVERGLADE DR and OCEAN AVE","Fallen_tree"
"115","Closed","(37.763543594948, -122.446808417383)","DPW Ops Queue","1065 ASHBURY ST, SAN FRANCISCO, CA, 94117","Other"
"116","Closed","(37.763543594948, -122.446808417383)","DPW Ops Queue","1065 ASHBURY ST, SAN FRANCISCO, CA, 94117","Other"
"117","Closed","(37.8059065464, -122.418200949164)","DPW Ops Queue","1288 COLUMBUS AVE, SAN FRANCISCO, CA, 94133","Hanging_limb"
"118","Closed","(37.7586223567428, -122.432561004915)","DPW BUF Queue","Intersection of CUMBERLAND ST and NOE ST","Remove_garden_debris"
"119","Closed","(37.7430497100081, -122.409968377139)","RPD Park Service Area 6 Queue","Intersection of BERNAL HEIGHTS BLVD and FOLSOM ST","Weeding"
"120","Closed","(37.7595592369392, -122.40401061394)","DPW Ops Queue","Intersection of VERMONT ST and 20TH ST","Dead_tree"
"121","Closed","(37.7893244166047, -122.430551130672)","DPW Ops Queue","Intersection of BUCHANAN ST and CALIFORNIA ST","Fallen_tree"
"122","Closed","(37.7451491088557, -122.413376463224)","DPW Ops Queue","Intersection of FOLSOM ST and STONEMAN ST","Pruning_request"
"123","Closed","(37.7486923315519, -122.475016920321)","DPW Ops Queue","Intersection of 18TH AVE and QUINTARA ST","Blocking_signs"
"124","Closed","(37.747898348213, -122.446828526264)","DPW Ops Queue","40 DAWNVIEW WAY, SAN FRANCISCO, CA, 94131","Fallen_tree"
"125","Closed","(37.7657273267337, -122.435471842956)","DPW Ops Queue","Intersection of CASTRO ST and 15TH ST","Blocking_traffic_signal"
"126","Closed","(37.760101830416, -122.393122670189)","DPW Ops Queue","501 PENNSYLVANIA AVE, SAN FRANCISCO, CA, 94107","Other_enter_additional_details_below"
"127","Closed","(37.776037224377, -122.49610371848)","DPW Ops Queue","696 36TH AVE, SAN FRANCISCO, CA, 94121","Other"
"128","Closed","(37.7654474943791, -122.413105187419)","DPW Ops Queue","Intersection of HARRISON ST and 16TH ST","Blocking_signs"
"129","Closed","(37.7900451429578, -122.417204774284)","DPW Ops Queue","Intersection of HYDE ST and PINE ST","Other"
"130","Closed","(37.735728692457, -122.38715001281)","DPW Ops Queue","1500 LA SALLE AVE, SAN FRANCISCO, CA, 94124","Pruning_request"
"131","Closed","(37.761606391189, -122.419760843643)","DPW Ops Queue","690 MISSION ST, SAN FRANCISCO, CA, 94105","Hanging_limb"
"132","Closed","(37.773111317581, -122.410895217353)","DPW Ops Queue","350 9TH ST, SAN FRANCISCO, CA, 94103","Pruning_request"
"133","Closed","(37.797117817506, -122.415391867755)","DPW Ops Queue","1717 JONES ST, SAN FRANCISCO, CA, 94109","Damaged_vandalism"
"134","Closed","(37.778510280068, -122.433817679967)","DPW Ops Queue","1320 MCALLISTER ST, SAN FRANCISCO, CA, 94115","Damaged_vandalism"
"135","Closed","(37.776847789025, -122.413855926638)","DPW Ops Queue","1239 MISSION ST, SAN FRANCISCO, CA, 94103","Damaged_vandalism"
"136","Closed","(37.778551899951, -122.406898355815)","DPW Ops Queue","58 HARRIET ST, SAN FRANCISCO, CA, 94103","Damaged_vandalism"
"137","Closed","(37.795647731331, -122.418036519787)","DPW Ops Queue","89 LYNCH ST, SAN FRANCISCO, CA, 94109","Other"
"138","Closed","(37.7690422430629, -122.426858401469)","DPW Ops Queue","Intersection of DOLORES ST and MARKET ST","Other"
"139","Closed","(37.766688990966, -122.416696140325)","DPW Ops Queue","100 SHOTWELL ST, SAN FRANCISCO, CA, 94103","About_to_fall"
"140","Closed","(37.753774358501, -122.455537451548)","DPW - Bureau of Urban Forestry - G","Intersection of CLARENDON AVE and PANORAMA DR","Blocking_sidewalk"
"141","Closed","(37.766104752768, -122.433083635272)","DPW Ops Queue","2196 15TH ST, SAN FRANCISCO, CA, 94114","Property_damage"
"142","Closed","(37.7658614882697, -122.433255578825)","DPW Ops Queue","Intersection of 15TH ST and NOE ST","Property_damage"
"143","Open","(37.7758344070154, -122.431198557278)","DPW Ops Queue","Intersection of HAYES ST and FILLMORE ST","Other"
"144","Open","(37.7942298438146, -122.393263603248)","DPW Ops Queue","Intersection of DON CHEE WAY and THE EMBARCADERO","Other"
"145","Closed","(37.7313957866, -122.444667584892)","DPW Ops Queue","403 MONTEREY BLVD, SAN FRANCISCO, CA, 94127","Fallen_tree"
"146","Closed","(37.778440898089, -122.436623334721)","DPW Ops Queue","930 SCOTT ST, SAN FRANCISCO, CA, 94115","Pruning_request"
"147","Open","(37.7930146211539, -122.444843163576)","DPW Ops Queue","Intersection of BAKER ST and BROADWAY","Hanging_limb"
"148","Closed","(37.7282530287039, -122.464070460646)","DPW Ops Queue","Intersection of FAIRFIELD WAY and KENWOOD WAY","Blocking_signs"
"149","Closed","(37.730881389228, -122.472604859301)","DPW Ops Queue","123 EUCALYPTUS DR, SAN FRANCISCO, CA, 94132","Blocking_signs"
"150","Closed","(37.7120163982656, -122.400789122207)","DPW BUF Queue","Intersection of TUNNEL AVE and BLANKEN AVE","Weeding"
"151","Closed","(37.7382878362001, -122.437398085622)","DPW Ops Queue","Intersection of DIAMOND HEIGHTS BLVD and DIAMOND ST","Other"
"152","Closed","(37.721458140289, -122.432181115622)","DPW Ops Queue","445 PERSIA AVE, SAN FRANCISCO, CA, 94112","Pruning_request"
"153","Open","(37.7455787658221, -122.422218448018)","DPW Ops Queue","Intersection of 28TH ST and GUERRERO ST","Weeding"
"154","Closed","(37.7230209313561, -122.462270836212)","DPW Ops Queue","Intersection of HEAD ST and ASHTON AVE","Blocking_signs"
"155","Closed","(37.715149740139, -122.473571666532)","DPW Ops Queue","131 FONT BLVD, SAN FRANCISCO, CA, 94132","Fallen_tree"
"156","Closed","(37.764742584493, -122.489615689466)","DPW Ops Queue","2929 LINCOLN WAY, SAN FRANCISCO, CA, 94122","Near_communication_line"
"157","Open","(37.7735543525881, -122.503608715813)","DPW Ops Queue","Intersection of 43RD AVE and CABRILLO ST","Damaged_vandalism"
"158","Closed","(37.778948126149, -122.407523832093)","DPW Ops Queue","30 HARRIET ST, SAN FRANCISCO, CA, 94103","Damaged_vandalism"
"159","Open","(37.7866231652427, -122.459255925741)","DPW BUF Queue","Intersection of SACRAMENTO ST and ARGUELLO BLVD","Fallen_tree"
"160","Closed","(37.7954661548331, -122.396771625647)","DPW Ops Queue","Intersection of DRUMM ST and CLAY ST","Hanging_limb"
"161","Open","(37.740378352183, -122.421554464244)","DPW Ops Queue","66 CORTLAND AVE, SAN FRANCISCO, CA, 94110","Pruning_request"
"162","Open","(37.7402399738407, -122.385281600677)","DPW BUF Queue","Intersection of FAIRFAX AVE and MENDELL ST","Fallen_tree"
"163","Closed","(37.781658510475, -122.414478852129)","DPW Ops Queue","241 GOLDEN GATE AVE, SAN FRANCISCO, CA, 94102","Damaged_vandalism"
"164","Open","(37.7996339841282, -122.437694751722)","DPW Ops Queue","Intersection of LOMBARD ST and STEINER ST","Lifted_sidewalk_tree_roots"
"165","Closed","(37.775213450492, -122.43508879727)","DPW Ops Queue","1133 HAYES ST, SAN FRANCISCO, CA, 94117","Pruning_request"
"166","Closed","(37.77852416566, -122.433708753457)","DPW Ops Queue","1306 MCALLISTER ST, SAN FRANCISCO, CA, 94115","Damaged_vandalism"
"167","Closed","(37.7863641173057, -122.49025394043)","DPW BSM Queue","Intersection of EL CAMINO DEL MAR and MCLAREN AVE","Weeding"
"168","Open","(37.789540850351, -122.444320260059)","DPW Ops Queue","3100 CLAY ST, SAN FRANCISCO, CA, 94115","Fallen_tree"
"169","Open","(37.753817986207, -122.433878443588)","DPW Ops Queue","584 ALVARADO ST, SAN FRANCISCO, CA, 94114","Pruning_request"
"170","Closed","(37.769364319004, -122.443626560106)","DPW Ops Queue","1211 WALLER ST, SAN FRANCISCO, CA, 94117","Other"
"171","Closed","(37.762567020263, -122.441257722588)","DPW BUF Queue","23 SATURN ST, SAN FRANCISCO, CA, 94114","Other_enter_additional_details_below"
"172","Open","(37.779894998663, -122.412910419853)","DPW BUF Queue","1125 MARKET ST, SAN FRANCISCO, CA, 94103","Damaged_vandalism"
"173","Open","(37.776569556291, -122.410016848585)","DPW Ops Queue","32 RAUSCH ST, SAN FRANCISCO, CA, 94103","Damaged_vandalism"
"174","Open","(37.7623546795248, -122.437342388435)","DPW Ops Queue","Intersection of 17TH ST and DIAMOND ST","Other_enter_additional_details_below"
"175","Open","(37.7844762607291, -122.472051941295)","DPW Ops Queue","Intersection of CALIFORNIA ST and FUNSTON AVE","Damaged_vandalism"
"176","Closed","(37.731822223738, -122.448200508409)","DPW Ops Queue","568 MONTEREY BLVD, SAN FRANCISCO, CA, 94127","Other_enter_additional_details_below"
"177","Closed","(37.7312777091177, -122.498001642883)","DPW BUF Queue","Intersection of LAKE MERCED BLVD and BERKSHIRE WAY","Shrubbery_blocking_visibility"
"178","Open","(37.781815893261, -122.471719519879)","DPW Ops Queue","340 FUNSTON AVE, SAN FRANCISCO, CA, 94118","Property_damage"
"179","Closed","(37.7337709477464, -122.496636033152)","DPW Ops Queue","Intersection of SLOAT BLVD and SKYLINE BLVD","Fallen_tree"
"180","Closed","(37.7340582027755, -122.492259337268)","DPW Ops Queue","Intersection of SLOAT BLVD and 35TH AVE","Fallen_tree"
"181","Closed","(37.7338788867135, -122.492418132236)","DPW Ops Queue","Intersection of SLOAT BLVD and SUNSET BLVD OFF RAMP","Fallen_tree"
"182","Closed","(37.7340085163663, -122.493345460467)","DPW Ops Queue","Intersection of SLOAT BLVD and 36TH AVE","Fallen_tree"
"183","Closed","(37.7844489226798, -122.472585964545)","RPD Park Service Area 1 Queue","Intersection of PARK PRESIDIO BLVD and CALIFORNIA ST","Dead_tree"
"184","Closed","(37.761384904974, -122.403041472286)","DPW Ops Queue","655 KANSAS ST, SAN FRANCISCO, CA, 94107","About_to_fall"
"185","Closed","(37.725097003967, -122.472298007815)","DPW Ops Queue","764 JUNIPERO SERRA BLVD, SAN FRANCISCO, CA, 94127","Damaged_vandalism"
"186","Open","(37.781436931479, -122.4716919026)","DPW Ops Queue","360 FUNSTON AVE, SAN FRANCISCO, CA, 94118","Pruning_request"
"187","Open","(37.781587401651, -122.471702868318)","DPW Ops Queue","352 FUNSTON AVE, SAN FRANCISCO, CA, 94118","Damaged_vandalism"
"188","Open","(37.798948725987, -122.404837945811)","DPW Ops Queue","455 VALLEJO ST, SAN FRANCISCO, CA, 94133","Damaged_vandalism"
"189","Open","(37.762454679057, -122.424040112254)","DPW Ops Queue","544 GUERRERO ST, SAN FRANCISCO, CA, 94110","Damaged_vandalism"
"190","Closed","(37.7585381092027, -122.463781606031)","DPW BUF Queue","Intersection of WARREN DR and 7TH AVE","Weeding"
"191","Closed","(37.709724152941, -122.40985090005)","DPW Ops Queue","20 TOMASO CT, SAN FRANCISCO, CA, 94134","Fallen_tree"
"192","Closed","(37.763851772491, -122.417519922269)","DPW Ops Queue","588 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94110","Other"
"193","Open","(37.786574794107, -122.430282481919)","DPW Ops Queue","1800 SUTTER ST, SAN FRANCISCO, CA, 94115","Other"
"194","Closed","(37.7590282383328, -122.495082481658)","DPW Ops Queue","Intersection of 36TH AVE and KIRKHAM ST","About_to_fall"
"195","Open","(37.76040523742, -122.463911928403)","DPW BUF Queue","Intersection of 7TH AVE and KIRKHAM ST","Pruning_request"
"196","Closed","(37.767042468118, -122.429174204798)","DPW BUF Queue","210 CHURCH ST, SAN FRANCISCO, CA, 94114","Pruning_request"
"197","Closed","(37.721754814961, -122.436804124468)","DPW Ops Queue","4787 MISSION ST, SAN FRANCISCO, CA, 94112","Blocking_signs"
"198","Closed","(37.760353435931, -122.410141108611)","DPW BUF Queue","2100 BRYANT ST, SAN FRANCISCO, CA, 94110","Other"
